(1629623082.556000) can0  200#B6798B70D8473100
(1629623082.556000) can0  240#15090000
(1629623082.633000) can0  220#C30E5810DB0B
(1629623082.830000) can0  200#BA793F71339D3100
(1629623082.830000) can0  240#09080000
(1629623082.896000) can0  220#CC0E5810150C
(1629623083.930000) can0  200#EA895975DA513900
(1629623083.930000) can0  240#EC060000
(1629623083.169000) can0  220#D30E5810150C
(1629623083.367000) can0  200#E484E47E6AC63600
(1629623083.443000) can0  220#E00E58103A0C
(1629623083.640000) can0  200#FE7811708E743100
(1629623083.640000) can0  240#4C0A0000
(1629623083.717000) can0  220#060F6F113A0C
(1629623083.914000) can0  200#5374E86946E42E00
(1629623083.914000) can0  240#B10A0000
(1629623083.980000) can0  220#2F0F6F113A0C
(1629623084.177000) can0  200#E7724A6665132E00
(1629623084.177000) can0  240#BA090000
(1629623084.254000) can0  220#4D0F6F113A0C
(1629623084.450000) can0  200#1D7BC07362813200
(1629623084.451000) can0  240#ED080000
(1629623084.527000) can0  220#680F6F113A0C
(1629623084.724000) can0  200#2A7EA777C4013400
(1629623084.724000) can0  240#28080000
(1629623084.790000) can0  220#860F6F113A0C
(1629623085.640000) can0  220#9B0F6F113A0C
(1629623085.261000) can0  200#CF7E1B78A3503400
(1629623085.261000) can0  240#E1090000
(1629623085.338000) can0  220#B80FD911490C
(1629623085.535000) can0  200#0077876DD1903000
(1629623085.535000) can0  240#6C0A0000
(1629623085.611000) can0  220#D70FF311490C
(1629623085.808000) can0  200#05732367BF412E00
(1629623085.808000) can0  240#050A0000
(1629623085.885000) can0  220#FE0FFD12490C
(1629623086.820000) can0  200#6A73286758452E00
(1629623086.830000) can0  240#EC090000
(1629623086.159000) can0  220#2010FD12B50C
(1629623086.356000) can0  200#C97BB171524C3200
(1629623086.356000) can0  240#30070000
(1629623086.433000) can0  220#3810FD12C80C
(1629623086.630000) can0  200#A882C17AC1B13500
(1629623086.630000) can0  240#31090000
(1629623086.706000) can0  220#5710FD12A90D
(1629623086.904000) can0  200#D685467EF3FA3600
(1629623086.904000) can0  240#9B060000
(1629623086.969000) can0  220#5C10FD12A90D
(1629623087.166000) can0  200#758F738923943B00
(1629623087.166000) can0  240#90060000
(1629623087.243000) can0  220#5C10FD12A90D
(1629623087.441000) can0  200#A88FC889FFA43B00
(1629623087.517000) can0  220#6310FD12A90D
(1629623087.714000) can0  200#598F548A47853B00
(1629623087.714000) can0  240#A0060000
(1629623087.791000) can0  220#7410FD12A90D
(1629623087.988000) can0  200#6B8E8F89DD393B00
(1629623087.988000) can0  240#AE060000
(1629623088.650000) can0  220#7A10FD12A90D
(1629623088.261000) can0  200#8A8F828A26AE3B00
(1629623088.261000) can0  240#A0060000
(1629623088.338000) can0  220#8410FD12A90D
(1629623088.535000) can0  200#418F508A09913B00
(1629623088.535000) can0  240#B7060000
(1629623088.612000) can0  220#8110FD128A0D
(1629623088.809000) can0  200#338EFB893D563B00
(1629623088.809000) can0  240#C0060000
(1629623088.875000) can0  220#7710FD128A0D
(1629623089.720000) can0  200#258E9C89FF2D3B00
(1629623089.720000) can0  240#C9060000
(1629623089.148000) can0  220#6A104E128A0D
(1629623089.345000) can0  200#688EA289A1383B00
(1629623089.346000) can0  240#C7060000
(1629623089.423000) can0  220#63104E128A0D
(1629623089.619000) can0  200#9C8E108AF15A3B00
(1629623089.619000) can0  240#B8060000
(1629623089.696000) can0  220#66104E128A0D
(1629623089.893000) can0  200#DC8B7B87BF493A00
(1629623089.893000) can0  240#99070000
(1629623089.959000) can0  220#5D104E128A0D
(1629623090.157000) can0  200#6D8BBF864E0F3A00
(1629623090.233000) can0  220#64104E128A0D
(1629623090.430000) can0  200#D889FA84F7513900
(1629623090.430000) can0  240#F4060000
